ACCT_CURR_AMOUNT,ORIG_CURR_CD,TRANSACTION_TYPE_DESC,TRANSACTION_TYPE_CATEGORY,ACCOUNT_KEY,ORIGINATOR_NAME,EXECUTION_LOCAL_DATE_TIME,FOREIGN_COUNTRY_CD
1500,CAD,Local currency monetary instrument withdrawals,TRANSACTIONS,EUR_50117251111835232242_T2,BIRD BB LIMITED,05-OCT-12 08.50.37.000000000 PM,CH
14200,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_24465402366500770610_T2,CYBER WOOD LIMITED,11-OCT-12 08.12.55.000000000 AM,CA
980,CHF,Travelers check purchase,TRANSACTIONS,GBP_13173081153909711647_T2,LOUIS GOODWIN TRUST,11-OCT-12 04.39.05.000000000 AM,CH
1870,CHF,Local currency monetary instrument deposits,TRANSACTIONS,GBP_07267797247481992642_T2,LOUIS GOODWIN TRUST,12-OCT-12 08.15.39.000000000 PM,CH
10000,EUR,Local currency monetary instrument deposits,TRANSACTIONS,EUR_26723846775234113487_T2,Name,14-OCT-12 01.18.54.000000000 PM,CH
830,MXN,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_66425434075832353288_T2,DANIEL MAURER,17-OCT-12 10.33.56.000000000 AM,EU
10330,USD,Foreign currency monetary instrument deposits,TRANSACTIONS,GBP_24043847105783953700_T2,CYBER WOOD LIMITED,20-OCT-12 09.29.29.000000000 PM,MX
7630,CHF,Travelers check deposits,TRANSACTIONS,GBP_97687353896674955017_T2,DELLUCCI AMERICAN STUDIO S.R.L.,20-OCT-12 01.31.57.000000000 PM,US
5730,USD,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_17541884960196051407_T2,LOUIS GOODWIN TRUST,20-OCT-12 05.27.22.000000000 AM,CH
13970,MXN,Local currency personal check withdrawals,TRANSACTIONS,GBP_07245455543752938289_T2,LOUIS GOODWIN TRUST,01-NOV-12 04.38.08.000000000 PM,CA
