TENANT_CD,ACCOUNT_KEY,BASE_CURR_AMOUNT,BASE_CURR_CD,BENE_CURR_CD,EXECUTION_LOCAL_DATE_TIME,OPP_COUNTRY_CD,ORIG_CURR_CD,ORIGINATOR_NAME,TRANSACTION_TYPE_DESC
2000000.0,t2_145,16311.0,USD,MXN,28-JUN-12 01.04.15.000000000 AM,missing,MXN,Branch of Bank Of England,Receive - Money Transfer - Incoming
2000000.0,t2_889,16311.0,USD,MXN,28-JUN-12 01.04.15.000000000 AM,missing,MXN,Branch of Bank Of England,Receive - Money Transfer - Outgoing
2000000.0,t2_145,3189.0,USD,USD,29-JUN-12 01.31.17.000000000 PM,missing,USD,Branch of Bank of Martin Luther King,Send - Money Order - Incoming
2000000.0,t2_145,3189.0,USD,USD,29-JUN-12 01.31.17.000000000 PM,missing,USD,Branch of Bank of Martin Luther King,Send - Express Payment - Incoming
2000000.0,t2_117,3189.0,USD,USD,29-JUN-12 01.31.17.000000000 PM,missing,USD,Branch of Bank of Martin Luther King,Send - Express Payment - Outgoing
2000000.0,t2_117,3189.0,USD,USD,29-JUN-12 01.31.17.000000000 PM,missing,USD,Branch of Bank of Martin Luther King,Send - Money Order - Outgoing
2000000.0,t2_152,875341.0,USD,USD,07-JUL-12 09.28.33.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Prepaid Cards - Incoming
2000000.0,UDM_Branch_t2_12_BUR,875341.0,USD,USD,07-JUL-12 09.28.33.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Prepaid Cards - Outgoing
2000000.0,t2_506,344715.0,USD,USD,07-JUL-12 04.31.36.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Express Payment - Outgoing
2000000.0,UDM_Branch_t2_11_GRE,782733.0,USD,USD,07-JUL-12 03.32.17.000000000 PM,missing,USD,Branch of Bank of NEW YORK,Send - Cash Payout Services - Outgoing
2000000.0,t2_152,875341.0,USD,USD,07-JUL-12 09.28.33.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Money Transfer - Incoming
2000000.0,t2_145,344715.0,USD,USD,07-JUL-12 04.31.36.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Utility Bill Payment - Incoming
2000000.0,t2_145,344715.0,USD,USD,07-JUL-12 04.31.36.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Express Payment - Incoming
2000000.0,t2_145,782733.0,USD,USD,07-JUL-12 03.32.17.000000000 PM,missing,USD,Branch of Bank of NEW YORK,Send - Cash Payout Services - Incoming
2000000.0,t2_506,344715.0,USD,USD,07-JUL-12 04.31.36.000000000 PM,missing,USD,Branch of Bank of alabama,Send - Utility Bill Payment - Outgoing
